,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,LATITUDE,LONGITUDE,TRAUMA
0,ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET, PO BOX 760",ANDALUSIA,AL,36420,(334) 222-8466,GENERAL ACUTE CARE,OPEN,31.29579533,-86.49454911,LEVEL III
1,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,(256) 262-6468,GENERAL ACUTE CARE,OPEN,34.8041639300001,-86.9784072099999,LEVEL III
2,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DR,ATMORE,AL,36502,(251) 368-2500,GENERAL ACUTE CARE,OPEN,31.0170238700001,-87.47879851,LEVEL III
3,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD, PO BOX 241267",MONTGOMERY,AL,36117,(334) 747-4410,GENERAL ACUTE CARE,OPEN,32.3763995,-86.17493002,NOT AVAILABLE
4,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD, PO BOX 11010",MONTGOMERY,AL,36111,(334) 286-2100,GENERAL ACUTE CARE,OPEN,32.3281539500001,-86.27754935,LEVEL II
5,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693,(251) 450-5901,PSYCHIATRIC,OPEN,30.6248084900001,-88.17800813,NOT AVAILABLE
6,BEACONS CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,AL,36049,(334) 334-5040,PSYCHIATRIC,OPEN,31.69458855,-86.26319151,NOT AVAILABLE
7,BIBB MEDICAL CENTER,208 PIERSON AVENUE,CENTREVILLE,AL,35042,(205) 926-4881,GENERAL ACUTE CARE,OPEN,32.95135837,-87.14831123,NOT AVAILABLE
8,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,HOMEWOOD,AL,35209,(205) 877-1000,GENERAL ACUTE CARE,OPEN,33.46425993,-86.7766650999999,LEVEL III
9,BRYCE HOSPITAL,200 UNIVERSITY BOULEVARD,TUSCALOOSA,AL,35401,(205) 759-0750,PSYCHIATRIC,OPEN,33.2163030900001,-87.53815802,NOT AVAILABLE
10,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,(334) 738-2140,GENERAL ACUTE CARE,OPEN,32.14663511,-85.7170093299999,NOT AVAILABLE
11,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL ROAD,TUSKEGEE,AL,36083,(334) 727-0550,GENERAL ACUTE CARE,OPEN,32.44521832,-85.71214861,NOT AVAILABLE
12,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,(205) 638-9100,CHILDREN,OPEN,33.5040481500001,-86.8051591399999,LEVEL I
13,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR DRIVE,BUTLER,AL,36904,(205) 459-9100,CRITICAL ACCESS,OPEN,32.0931053400001,-88.20949244,NOT AVAILABLE
14,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE, PO BOX 978",TALLADEGA,AL,35161,(205) 820-5930,GENERAL ACUTE CARE,OPEN,33.4402768200001,-86.0907834,LEVEL III
