Service,Lower Bound,Upper Bound
Primary Care Visit,20,40
Specialist Visit,30,60
Emergency Room Visit,100,250
Urgent Care Visit,50,100
Physical Therapy Session,20,50
Mental Health Counseling,20,50
Chiropractic Visit,20,50
Dermatology Visit,30,60
Cardiology Consultation,30,60
Orthopedic Consultation,30,60
Gastroenterology Consultation,30,60
Neurology Consultation,30,60
Obstetrics/Gynecology Visit,20,50
Pediatrician Visit,20,40
Ophthalmology Visit,30,60
Optometry Visit,20,40
Dental Cleaning,20,50
Dental Filling,50,100
Dental Extraction,50,150
Routine Blood Test,10,30
Rheumatology Consultation,30,60
Acupuncture Session,20,50
Acupressure Therapy,15,40
Hypnotherapy Session,30,60
Hydrotherapy Session,20,50
Dialectical Behavior Therapy (DBT),20,60
Intensive Outpatient Program (IOP),50,150
Partial Hospitalization Program (PHP),80,200
Immunotherapy Injection,50,120
IV Vitamin Therapy,30,80
Chelation Therapy,50,150
PRP (Platelet-Rich Plasma) Injection,100,200
Trigger Point Injection,30,60
Epidural Steroid Injection,50,150
Botox Injection for Migraines,50,120
Ketamine Infusion Therapy,100,300
Biofeedback Session,20,60
Electromagnetic Therapy,30,80
Chiropractic Adjustment,20,40
Naturopathy Consultation,20,60
Integrative Medicine Consultation,20,60
Ayurvedic Treatment Consultation,20,50
Reiki Session,20,40
Craniosacral Therapy Session,20,50
Prolotherapy Injection,50,150
Ozone Therapy Session,30,80
Physical Medicine Injection Therapy,30,70
Diabetic Foot Care,20,50
Diabetic Retinopathy Screening,10,30
Cardiac Risk Assessment,10,30
Cholesterol Panel,10,20
HIV Prevention (PrEP),0,40
HIV Treatment (PEP),0,50
Homeopathic Treatment Consultation,20,50
Hormone Imbalance Consultation,20,60
Men’s Health Consultation,20,50
Women’s Health Consultation,20,50
Pediatric Immunotherapy,20,60
Pediatric Developmental Therapy,20,60
Pediatric Feeding Therapy,20,60
Infant Physical Therapy,20,50
Neonatal Intensive Care Consultation,50,150
Pediatric Sleep Medicine Consultation,30,70
Child Psychiatry Consultation,30,70
Adolescent Medicine Consultation,20,50
Travel Vaccination Consultation,20,40
Rabies Vaccine Series,50,150
Malaria Prevention Consultation,10,40
Occupational Medicine Consultation,20,60
Substance Use Disorder Assessment,30,80
"Physical Medicine Procedure (e.g., electrotherapy)",30,80
Urinary Incontinence Therapy,20,60
Kidney Stone Removal (Outpatient),50,150
Erectile Dysfunction Therapy,30,80
Gender-Affirming Hormone Therapy,20,60
Transplant Follow-Up Consultation,50,100
Bone Marrow Donation Consultation,30,80
Sickle Cell Disease Consultation,30,80
Hemophilia Treatment,50,150
Cancer Genetic Counseling,30,80
Breast Reconstruction Consultation,50,100
Reconstructive Surgery Consultation,50,100
Vein Ablation Therapy,50,150
Aortic Aneurysm Screening,20,50
Peripheral Arterial Disease Screening,20,50
Chronic Pain Evaluation,30,80
Migraine Prevention Consultation,20,50
Spinal Cord Stimulation Therapy,50,150
Gout Management Consultation,20,50
Lupus Care Consultation,30,60
Fibromyalgia Treatment Consultation,20,50
Autoimmune Disorder Counseling,20,50
Psoriatic Arthritis Management,30,70
IBD (Inflammatory Bowel Disease) Treatment,30,70
Colorectal Cancer Screening,10,30
Genetic Testing for Cancer,50,150
Insulin Resistance Management,20,50
Cognitive Rehabilitation,30,60
Alzheimer’s Disease Assessment,20,60
Parkinson’s Disease Therapy,20,60
Multiple Sclerosis (MS) Management,30,70
ALS (Lou Gehrig’s Disease) Consultation,30,80
Alzheimer’s Family Counseling,20,50
Stroke Rehabilitation Therapy,30,80
Traumatic Brain Injury (TBI) Consultation,30,80
Language and Speech Evaluation,20,60
ADHD Medication Management,20,50
PTSD Therapy Session,20,50
Anxiety Management Session,20,50
Pediatric Speech Therapy,20,50
Pediatric Mobility Training,20,50
Autism Occupational Therapy,20,60
Feeding and Swallowing Therapy,20,60
Pediatric Social Skills Training,20,60
Adult ADHD Management,20,50
Post-Concussion Evaluation,20,50
High-Risk Pregnancy Consultation,30,80
Reproductive Endocrinology Consultation,30,80
Genetic Carrier Screening,30,80
Fetal Echocardiogram,50,150
Telepsychiatry Consultation,15,45
